timestamp,distance1,distance2,distance3
2586,,,
2599,,,
2646,,,
2678,,,
2711,,,
2742,,,
2774,,,
2806,,,
2838,,,
2870,,,
2903,,,
2934,,,
2966,,,
3014,,,
3046,,,
3078,,,
3110,,,
3142,,,
3174,,,
3206,,,
3238,,,
3270,,,
3302,,,
3334,,,
3366,,,
3414,,,
3446,,,
3478,,,
3510,,,
3542,,,
3575,,,
3606,,,
3638,,,
3670,,,
3702,,,
3734,,,
3766,,,
3815,,,
3846,,,
3878,,,
3910,,,
3942,,,
3975,,,
4007,,,
4038,,,
4070,,,
4102,,,
4134,,,
4183,,,
4214,,,
4246,,,
4278,,,
4310,,,
4343,,,
4374,,,
4406,,,
4438,,,
4472,,,
4502,,,
4534,,,
4582,,,
4614,,,
4646,,,
4678,,,
4710,,,
4758,NaN,,
5911,NaN,NaN,NaN
5925,NaN,1021.5123827282792,1264.955038265306
5951,NaN,1029.9758727810652,1302.396551724138
5975,NaN,1037.999600591716,1208.4799687825182
6008,NaN,1042.2837219238281,1082.671142578125
6040,NaN,1041.3224626449253,1007.4312283737024
6072,NaN,1044.4281728563458,1175.77
6104,NaN,1039.1472424557753,1193.5525519031141
6151,NaN,1044.169561273851,1207.9262543252596
6183,NaN,1037.5365924458713,1210.9795918367347
6215,NaN,1037.922639644093,1185.0008163265306
6248,NaN,1034.7049643386767,1192.905306122449
6280,NaN,1040.6503160011491,1160.577976625274
6312,NaN,1038.014826099881,1157.4042857142856
6344,NaN,1044.844901902497,1091.699387755102
6376,NaN,1045.3047896848989,1157.955306122449
6408,NaN,1036.0922873345935,1137.3730825420014
6440,NaN,1037.7810586011342,1104.7132653061224
6471,NaN,1032.2262510768267,1050.2089795918366
6504,NaN,1027.8807995854593,1109.0938775510203
6552,NaN,1026.598971619898,1135.4157142857143
6583,NaN,1019.2878268494898,1152.9555102040815
6615,NaN,1016.9402066115703,1167.720612244898
6648,NaN,1017.6980473024156,1187.0385714285715
6679,NaN,1027.1581360817538,1181.9402040816326
6711,NaN,1031.6409511747752,1180.5791836734693
6743,NaN,1042.1399467202375,1150.7844897959183
6775,NaN,1046.8086399778106,1181.390796201607
6808,NaN,1041.7173148807406,1191.8301680058437
6840,NaN,1071.4052376290495,1167.3749086924763
6871,NaN,1085.675888723906,1145.0268351800555
6919,NaN,1104.8153987247795,1136.9316135734073
6951,NaN,1128.6172125311498,1105.62140625
6983,NaN,1158.9515241505808,1161.334375
7015,NaN,1178.1087798148808,1157.8319452706721
7047,NaN,1202.4847217085799,1216.5380940082644
7079,NaN,1230.4301728920118,1224.9160356949703
7112,NaN,1243.9478273164295,1212.200284090909
7144,NaN,1261.2756592490932,1240.9525047258978
7176,NaN,1276.04935,1249.1459936622907
7208,NaN,1289.9868742693166,1254.126527840652
7239,NaN,1294.7015889042407,1257.6271345272803
7272,NaN,1316.3504155124654,1254.4161
7319,NaN,1322.7236288088643,1238.8908099112425
7351,NaN,1325.957783933518,1229.0023139907441
7383,NaN,1340.2858872873346,1215.2255250978997
7415,NaN,1348.8322601606806,1165.0948760330577
7448,NaN,1361.6495746691871,1159.8877685950413
7479,NaN,1363.9740370982986,1133.575653983353
7511,NaN,1370.6592627599243,1072.5464476813318
7544,NaN,1363.819647920605,1111.1348097502973
7575,NaN,1366.7819997736533,1134.5693370986921
7607,NaN,1372.5070733363514,1142.0772048261995
7640,NaN,1371.749232041588,1143.1368859523125
7672,NaN,1372.9795014177694,1136.8819537758668
7720,NaN,1377.5290423861852,1134.2734781477627
7752,NaN,1379.4272819088499,1131.4444580078125
7784,NaN,1385.5682363337962,1140.3218422811317
7816,NaN,1382.356340392562,1142.7014489619378
7848,NaN,1378.184917355372,1140.4682602658202
7880,NaN,1376.2577156508264,1141.160693202901
7912,NaN,1372.621518388318,1137.751003866746
7944,NaN,1371.0896823347107,1135.8179421308816
7976,NaN,1369.488304488913,1130.053405385823
8008,NaN,1374.5441454840454,1128.2539610683568
8040,NaN,1380.6642103839913,1124.754942076735
8087,NaN,1377.8502230935642,1121.7668159100374
8119,NaN,1379.5630810950413,1122.8154837761003
8152,NaN,1388.4465069731405,1123.5727624742672
8184,NaN,1387.91513066532,1126.2574012351731
8216,NaN,1390.665635652064,1126.2662646849412
8248,NaN,1389.0765909914262,1129.415137614679
8280,NaN,1389.1460007088847,1146.4392338966836
8312,NaN,1393.445534026465,1153.9783163265306
8344,NaN,1393.5484699905483,1164.6797713211683
8376,NaN,1394.555263468809,1166.7837213010205
8408,NaN,1391.6440217391305,1174.0857382015306
8440,NaN,1393.1075437145557,1173.0099459628789
8488,NaN,1394.2612830812855,1175.110989317602
8520,NaN,1389.189922714648,1172.2454969065707
8552,NaN,1389.508875739645,1171.142299107143
8584,NaN,1397.6894698707886,1183.0915909090909
8616,NaN,1399.1113995894216,1189.3251446280992
8649,NaN,1399.0417522038401,1199.489752546082
8680,NaN,1397.970293442821,1207.3723171450215
8712,NaN,1397.6477780461296,1214.7896104463273
8744,NaN,1392.3069677575172,1219.8858357066572
8776,NaN,1393.6561103731433,1224.5495562130177
8808,NaN,1397.8530068832267,1232.4256690520538
8840,NaN,1392.5656604442345,1238.9870355847465
8887,NaN,1394.101370510397,1244.5484693877552
8919,NaN,1391.6341564272211,1261.4180837496015
8953,NaN,1391.3476784026466,1274.6845429362882
8983,NaN,1392.8695676776822,1292.3142722117202
9015,NaN,1388.85922731569,1308.535231252264
9047,NaN,1393.0716953372566,1320.474852071006
9079,NaN,1385.6225384789498,1336.370486656201
9111,NaN,1388.4811566319602,1353.0201679080924
9143,NaN,1387.1338315217392,1364.5286499215072
9175,NaN,1392.0102492911153,1379.9935092380147
9208,NaN,1389.4878308128546,1394.0681077164593
9255,NaN,1391.4429643194708,1395.521887453206
9287,NaN,1395.7130198487712,1407.887000362275
9320,NaN,1394.5722767013233,1425.5152759328585
9352,NaN,1390.9128071833647,1436.3475727569135
9383,NaN,1398.210934669726,1438.8220108695652
9415,NaN,1399.0573602221955,1442.6527351134216
9447,NaN,1395.832387392827,1452.1067462192816
9479,NaN,1397.2289578553314,1457.5334061909264
9512,NaN,1391.6762169187145,1461.0881837942277
9544,NaN,1394.0102788279773,1468.5419635309745
9575,NaN,1392.977374763705,1467.773718100189
9607,NaN,1396.6212715855572,1471.639709357278
9655,NaN,1392.1590085738437,1480.1656722589792
9687,NaN,1399.8271051634895,1478.2858759619737
9719,NaN,1396.2197954803687,1477.6143051154368
9751,NaN,1399.4429680595883,1477.9502602987777
9783,NaN,1394.1949341866925,1486.539461247637
9815,NaN,1392.840487312208,1475.8737267994568
9847,NaN,1400.5707297058452,1478.5702806699865
9880,NaN,1390.4978263494747,1479.179761342155
9912,NaN,1390.7902729138993,1475.0231864366729
9944,NaN,1392.6414382320975,1467.2327209357277
9975,NaN,1395.1369399830937,1468.6655541115313
10007,NaN,1389.1622459829869,1475.0568469991547
10056,NaN,1386.6596123656564,1469.7144080812855
10087,NaN,1394.132915879017,1472.5608589859664
10120,NaN,1391.9801216918715,1474.7277882797732
10151,NaN,1393.0199669187145,1471.647595699433
10183,NaN,1394.9389281656356,1464.7678531009506
10215,NaN,1395.7317051080788,1470.8806303757356
10247,NaN,1388.9713492438564,1477.1532963137997
10279,NaN,1387.730732231779,1484.799178843135
10311,NaN,1390.9001063327032,1482.454129253308
10343,NaN,1390.8929288752363,1478.0337901701323
10375,NaN,1392.0984168241966,1477.5975307183364
10423,NaN,1391.069677457467,1470.8071833648394
10455,NaN,1391.6871455576559,1477.6909853497164
10487,NaN,1390.3706074145634,1467.2086068356723
10519,NaN,1387.2111249434133,1478.5490580847725
10551,NaN,1389.4038575141776,1474.4963669659735
10584,NaN,1392.7119269848772,1477.9405718336484
10615,NaN,1387.3144494328922,1478.0553816162571
10647,NaN,1391.743058837429,1479.7516245274103
10680,NaN,1392.3162216446124,1481.8481161695447
10712,NaN,1392.4639536287889,1467.848743775464
10743,NaN,1390.6714910207938,1476.6749172967864
10775,NaN,1393.6956484834766,1484.1963229078613
10823,NaN,1390.286385242191,1479.1729259751237
10855,NaN,1394.2134705953388,1472.9962369850612
10887,NaN,1392.1188866078976,1476.2045132325143
10919,NaN,1391.7879696695338,1484.1209093104696
10951,NaN,1394.679643194707,1478.8877008506615
10983,NaN,1385.8950259924386,1482.7077345731193
